,Player_Id,Team_Id,Name,Year,Position,Games_Played,passing yards,passing touchdowns,passing interceptions,rushing yards,rushing touchdowns,fumbles,receiving yards,receiving touchdowns,receptions,kick returns,punt returns,total annual points
38,c88eefbf-efb5-4438-8599-ab1b3f8d1c9d,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Larry Centers,2002,FB,16,0.0,0,0,5.6000000000000005,12,0,38.8,0,43,0,0,56.4
39,d608b335-2a84-4cca-9e1c-fe0a9004b0e7,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Andre Rone,2002,WR,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0
40,dcdef9b4-3b35-420a-8d4d-18af6a939ffb,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Josh Reed,2002,WR,16,0.0,0,0,0.0,0,-2,50.90000000000001,12,37,0,0,60.90000000000001
41,e122c17f-a727-4ee2-b0cd-6c5634550d10,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Drew Bledsoe,2002,QB,16,174.36,96,-30,6.7,12,-22,0.0,0,0,0,0,237.06
42,f35debf3-cca8-4e98-8f15-5f381b360885,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Sammy Morris,2002,RB,16,0.0,0,0,0.5,0,0,4.800000000000002,0,3,0,0,5.300000000000002
43,f62cb4b8-32ff-42f9-a921-7041085574fc,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Dave Moore,2002,TE,14,0.0,0,0,0.0,0,0,14.1,12,16,0,0,26.1
44,05b0c05e-ec5b-4c41-9ff6-55ffcbdab955,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Alex Van Pelt,2003,QB,6,1.96,0,-6,-0.6000000000000001,0,0,0.0,0,0,0,0,-4.640000000000001
45,44b651f0-6930-447e-a76e-6b5058b4cdf3,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Travis Henry,2003,RB,15,0.0,0,-2,135.6,60,-14,15.8,6,28,0,0,201.4
46,4f0b14ef-dfe3-46aa-bb99-ae0cd2468df2,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Sam Gash,2003,FB,16,0.0,0,0,0.30000000000000004,0,-2,8.3,0,11,0,0,6.6000000000000005
47,52895256-d652-4261-ac44-52020ea67715,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Clarence Coleman,2003,WR,14,0.0,0,0,0.0,0,0,6.9,0,8,0,0,6.9
48,684592b1-e81f-4cdd-a44d-ab10d5dde633,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Eric Moulds,2003,WR,13,0.0,0,0,0.0,0,0,78.0,6,64,0,0,84.0
49,9d310afd-c478-48d7-a669-4171b055aaac,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Willis McGahee,2003,RB,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0.0
